f1_score,roc_auc,auprc
0.6451612903225806,1.0,0.9999999999999999
0.5263157894736842,0.9610169491525424,0.8174908424908424
0.5405405405405406,0.952542372881356,0.6736272061272062
0.5,0.8627118644067797,0.46533380018674136
0.5714285714285714,0.9881355932203391,0.9351301476301476
0.5263157894736842,0.9118644067796611,0.5618098129940234
0.5263157894736842,0.9677966101694916,0.7663170163170162
0.6666666666666666,0.9983050847457627,0.9909090909090909
0.5454545454545454,0.9101694915254237,0.5362724826772814
0.5714285714285714,0.9084745762711864,0.473506398572188
0.6896551724137931,0.9966101694915254,0.9833333333333333
0.6956521739130435,0.9508474576271186,0.7719210906053011
0.6060606060606061,0.9796610169491525,0.891976911976912
0.5,0.9254237288135593,0.6030328495034377
0.5882352941176471,0.9661016949152542,0.8309623709623709
0.5,0.8999999999999999,0.6046038947944574
0.5882352941176471,0.9627118644067797,0.8249908424908424
0.6060606060606061,0.9508474576271186,0.6669605394605395
0.6896551724137931,0.9423728813559322,0.739234975550765
0.625,0.9949152542372882,0.9697979797979798
0.5882352941176471,0.988135593220339,0.9272546897546897
0.6666666666666666,0.983050847457627,0.8404365079365078
0.5714285714285714,0.964406779661017,0.7250428656311009
0.6666666666666666,0.9847457627118644,0.8905880230880231
0.5714285714285714,1.0,0.9999999999999999
0.5555555555555556,0.940677966101695,0.7651388888888888
0.7407407407407407,0.9796610169491525,0.8612626262626262
0.5,0.8694915254237288,0.41911642918036784
0.5405405405405406,0.9050847457627119,0.6036022311022311
0.5882352941176471,0.976271186440678,0.8809920634920635
0.5128205128205128,0.9728813559322035,0.7931424131424131
0.5882352941176471,0.9338983050847458,0.5721622740005093
0.6451612903225806,0.9135593220338983,0.5008549783549784
0.46511627906976744,0.8999999999999999,0.6336498234399284
0.6666666666666666,0.9864406779661017,0.9105880230880231
0.6,0.9338983050847458,0.6920462922010908
0.5714285714285714,0.9050847457627119,0.5526321932281685
0.5882352941176471,0.9355932203389831,0.6107112332112332
0.5405405405405406,0.9949152542372881,0.9733333333333333
0.7142857142857143,0.9949152542372882,0.9697979797979798
0.6060606060606061,0.9796610169491525,0.8748523698523698
0.46511627906976744,0.8355932203389831,0.3958061504171561
