Timestamp,Run,F1_Macro,F1_Binary,AUC,AUPRC
2026-05-03 07:23:49,147,0.9417,0.9000,0.9750,0.9317
2026-05-03 07:24:07,148,0.8833,0.8000,0.9333,0.8963
2026-05-03 07:24:24,149,0.9417,0.9000,0.9700,0.9270
2026-05-03 07:24:45,150,0.9417,0.9000,0.9917,0.9667
2026-05-03 07:25:06,151,0.9417,0.9000,0.9950,0.9733
2026-05-03 07:25:22,152,0.9417,0.9000,0.9750,0.9224
2026-05-03 07:25:42,153,0.9417,0.9000,0.9917,0.9667
2026-05-03 07:26:02,154,0.8833,0.8000,0.9367,0.8779
2026-05-03 07:26:17,155,0.8833,0.8000,0.9900,0.9532
2026-05-03 07:26:40,156,0.9417,0.9000,0.9933,0.9573
2026-05-03 07:27:01,157,0.9417,0.9000,0.9933,0.9669
2026-05-03 07:27:14,158,0.9417,0.9000,0.9950,0.9769
2026-05-03 07:27:30,159,0.7667,0.6000,0.9283,0.7415
2026-05-03 07:27:50,160,0.8833,0.8000,0.9867,0.9417
2026-05-03 07:28:08,161,0.9417,0.9000,0.9683,0.9345
2026-05-03 07:28:22,162,1.0000,1.0000,1.0000,1.0000
2026-05-03 07:28:45,163,0.9417,0.9000,0.9867,0.9556
2026-05-03 07:29:02,164,0.8833,0.8000,0.9400,0.8693
2026-05-03 07:29:18,165,0.8833,0.8000,0.9667,0.8997
2026-05-03 07:29:40,166,0.9417,0.9000,0.9783,0.9435
2026-05-03 07:30:00,167,0.9417,0.9000,0.9900,0.9567
2026-05-03 07:30:15,168,0.8250,0.7000,0.9733,0.8602
2026-05-03 07:30:33,169,1.0000,1.0000,1.0000,1.0000
2026-05-03 07:30:55,170,0.9417,0.9000,0.9867,0.9556
2026-05-03 07:31:12,171,0.9417,0.9000,0.9950,0.9769
2026-05-03 07:31:29,172,0.9417,0.9000,0.9833,0.9500
2026-05-03 07:31:47,173,0.8833,0.8000,0.9833,0.9338
2026-05-03 07:32:06,174,0.8833,0.8000,0.9867,0.9407
2026-05-03 07:32:25,175,0.6500,0.4000,0.8333,0.5678
2026-05-03 07:32:42,176,0.9417,0.9000,0.9917,0.9614
2026-05-03 07:33:05,177,0.9417,0.9000,0.9567,0.9278
2026-05-03 07:33:20,178,0.9417,0.9000,0.9867,0.9556
2026-05-03 07:33:36,179,0.9417,0.9000,0.9967,0.9809
2026-05-03 07:33:55,180,1.0000,1.0000,1.0000,1.0000
2026-05-03 07:34:13,181,0.8833,0.8000,0.9767,0.9048
2026-05-03 07:34:29,182,0.6500,0.4000,0.8100,0.4775
2026-05-03 07:34:53,183,0.9417,0.9000,0.9733,0.9385
2026-05-03 07:35:09,184,0.8833,0.8000,0.9783,0.9207
2026-05-03 07:35:25,185,0.9417,0.9000,0.9967,0.9809
2026-05-03 07:35:45,186,1.0000,1.0000,1.0000,1.0000
2026-05-03 07:36:04,187,0.8833,0.8000,0.9567,0.9005
2026-05-03 07:36:21,188,0.9417,0.9000,0.9800,0.9455
2026-05-03 07:36:41,189,0.9417,0.9000,0.9883,0.9588
2026-05-03 07:37:02,190,0.9417,0.9000,0.9900,0.9567
2026-05-03 07:37:19,191,0.8833,0.8000,0.9900,0.9519
2026-05-03 07:37:38,192,0.9417,0.9000,0.9717,0.9370
2026-05-03 07:37:55,193,0.8833,0.8000,0.9850,0.9359
2026-05-03 07:38:11,194,0.8833,0.8000,0.9867,0.9407
2026-05-03 07:38:30,195,1.0000,1.0000,1.0000,1.0000
2026-05-03 07:38:49,196,0.9417,0.9000,0.9967,0.9833
2026-05-03 07:39:07,197,0.9417,0.9000,0.9667,0.9333
2026-05-03 07:39:26,198,0.9417,0.9000,0.9933,0.9714
2026-05-03 07:39:45,199,0.9417,0.9000,0.9833,0.9500
2026-05-03 07:40:04,200,0.9417,0.9000,0.9950,0.9698
2026-05-03 07:40:19,201,0.7667,0.6000,0.9250,0.6344
2026-05-03 07:40:38,202,0.7667,0.6000,0.9217,0.6837
2026-05-03 07:40:59,203,0.9417,0.9000,0.9900,0.9625
2026-05-03 07:41:14,204,0.9417,0.9000,0.9933,0.9714
2026-05-03 07:41:29,205,0.9417,0.9000,0.9983,0.9909
2026-05-03 07:41:49,206,0.8250,0.7000,0.9533,0.8150
2026-05-03 07:42:05,207,0.7083,0.5000,0.9400,0.7321
2026-05-03 07:42:19,208,0.9417,0.9000,0.9883,0.9588
2026-05-03 07:42:37,209,0.9417,0.9000,0.9933,0.9573
2026-05-03 07:43:00,210,0.8833,0.8000,0.9667,0.8976
2026-05-03 07:43:17,211,0.7083,0.5000,0.9000,0.6243
2026-05-03 07:43:35,212,0.8250,0.7000,0.9300,0.8307
2026-05-03 07:43:56,213,0.8833,0.8000,0.9833,0.9338
2026-05-03 07:44:13,214,0.9417,0.9000,0.9667,0.9245
2026-05-03 07:44:31,215,0.9417,0.9000,0.9800,0.9376
2026-05-03 07:44:55,216,1.0000,1.0000,1.0000,1.0000
2026-05-03 07:45:11,217,0.7083,0.5000,0.9033,0.6202
2026-05-03 07:45:27,218,0.9417,0.9000,0.9850,0.9526
2026-05-03 07:45:47,219,0.8833,0.8000,0.9650,0.8950
2026-05-03 07:46:03,220,0.8833,0.8000,0.9900,0.9532
2026-05-03 07:46:20,221,0.8833,0.8000,0.9900,0.9519
2026-05-03 07:46:44,222,0.8833,0.8000,0.9850,0.9406
2026-05-03 07:47:05,223,0.9417,0.9000,0.9917,0.9614
2026-05-03 07:47:19,224,1.0000,1.0000,1.0000,1.0000
2026-05-03 07:47:38,225,0.9417,0.9000,0.9933,0.9714
2026-05-03 07:47:58,226,0.9417,0.9000,0.9783,0.9355
2026-05-03 07:48:18,227,0.8833,0.8000,0.9417,0.8703
2026-05-03 07:48:40,228,0.9417,0.9000,0.9533,0.9263
2026-05-03 07:49:01,229,0.9417,0.9000,0.9983,0.9909
2026-05-03 07:49:21,230,0.9417,0.9000,0.9817,0.9400
2026-05-03 07:49:42,231,0.7667,0.6000,0.9267,0.5761
2026-05-03 07:50:03,232,0.8833,0.8000,0.9417,0.8714
2026-05-03 07:50:18,233,0.8833,0.8000,0.9800,0.9169
2026-05-03 07:50:40,234,1.0000,1.0000,1.0000,1.0000
2026-05-03 07:51:03,235,0.9417,0.9000,0.9883,0.9588
2026-05-03 07:51:20,236,0.7667,0.6000,0.9400,0.7234
2026-05-03 07:51:38,237,0.9417,0.9000,0.9933,0.9669
2026-05-03 07:51:59,238,0.8833,0.8000,0.9567,0.8858
2026-05-03 07:52:15,239,0.8250,0.7000,0.9283,0.8237
2026-05-03 07:52:31,240,0.9417,0.9000,0.9917,0.9614
2026-05-03 07:52:57,241,0.9417,0.9000,0.9833,0.9426
2026-05-03 07:53:15,242,0.8833,0.8000,0.9633,0.8962
2026-05-03 07:53:32,243,0.8833,0.8000,0.9750,0.9040
2026-05-03 07:53:51,244,0.9417,0.9000,0.9967,0.9833
2026-05-03 07:54:05,245,0.9417,0.9000,0.9850,0.9526
2026-05-03 07:54:21,246,0.9417,0.9000,0.9850,0.9526
2026-05-03 07:54:44,247,0.9417,0.9000,0.9883,0.9588
2026-05-03 07:55:04,248,0.9417,0.9000,0.9983,0.9909
2026-05-03 07:55:22,249,0.9417,0.9000,0.9683,0.9345
2026-05-03 07:55:40,250,0.9417,0.9000,0.9967,0.9833
2026-05-03 07:56:00,251,0.9417,0.9000,0.9883,0.9588
2026-05-03 07:56:15,252,0.9417,0.9000,0.9917,0.9667
2026-05-03 07:56:35,253,0.8833,0.8000,0.9817,0.9159
2026-05-03 07:56:55,254,0.8833,0.8000,0.9800,0.9276
2026-05-03 07:57:10,255,1.0000,1.0000,1.0000,1.0000
2026-05-03 07:57:23,256,0.8833,0.8000,0.9717,0.9218
2026-05-03 07:57:41,257,0.8833,0.8000,0.9467,0.8662
