split;f1_score;roc_auc;auprc
75;0.8;0.9745762711864406;0.8077625152625152
76;0.5;0.9186440677966101;0.5697960811118706
77;0.7;0.9694915254237289;0.8540612165612165
78;0.8;0.9796610169491525;0.7822546897546898
79;0.9;0.9932203389830508;0.9714285714285714
80;0.8;0.9898305084745762;0.9532467532467531
81;0.9;0.983050847457627;0.8868650793650793
82;0.6;0.9406779661016949;0.5998316879199233
83;0.7;0.9610169491525424;0.7453860028860029
84;0.8;0.964406779661017;0.757603785103785
85;0.5;0.8932203389830508;0.4490134426976532
86;0.8;0.976271186440678;0.8072333222333222
87;0.7;0.9610169491525424;0.7559415584415584
88;0.8;0.964406779661017;0.7568253968253967
89;0.8;0.9830508474576272;0.9051373626373626
90;0.7;0.9322033898305085;0.6050305250305251
91;0.5;0.9118644067796611;0.4979994515288632
92;0.7;0.9593220338983051;0.7388768094650446
93;0.7;0.9677966101694916;0.8301082251082251
94;0.6;0.9372881355932204;0.572967032967033
95;0.8;0.9796610169491525;0.8523595848595847
96;0.8;0.9677966101694915;0.7875396825396824
97;0.8;0.9694915254237289;0.8493253968253968
98;0.6;0.9491525423728814;0.6756596099978454
99;0.8;0.9813559322033898;0.9016991341991342
100;0.8;0.9847457627118644;0.9305555555555555
101;0.8;0.9779661016949153;0.8548523698523698
102;1.0;1.0;0.9999999999999999
103;0.8;0.9661016949152543;0.802603785103785
104;0.8;0.9813559322033898;0.8812626262626262
105;0.8;0.9881355932203391;0.9351301476301476
106;0.8;0.9847457627118644;0.9358974358974358
107;0.6;0.9491525423728814;0.6558982683982684
108;0.8;0.9779661016949153;0.8493578643578643
109;0.7;0.9593220338983051;0.755
110;0.8;0.9779661016949153;0.9067857142857142
111;0.8;0.9728813559322034;0.8606489262371614
112;0.8;0.9779661016949153;0.8362626262626262
113;0.8;0.9610169491525424;0.7576190476190476
114;0.6;0.9423728813559322;0.6580405623787976
115;0.9;0.9966101694915255;0.9809090909090908
116;0.6;0.9203389830508475;0.5617032967032968
