Run;f1_score;roc_auc;auprc
345;0.9;0.975;0.94
346;0.9;0.9967;0.9833
347;0.8;0.9583;0.9121
348;0.8;0.975;0.8722
349;1;1;1
350;0.8;0.9817;0.9344
351;0.9;0.9967;0.9833
352;0.8;0.9883;0.9464
353;0.8;0.975;0.8993
354;0.8;0.9683;0.8354
355;0.9;0.9967;0.9833
356;0.9;0.9983;0.9909
357;0.8;0.9483;0.8664
358;0.8;0.95;0.8807
359;0.8;0.985;0.8906
360;0.8;0.9633;0.9095
361;1;1;1
362;0.9;0.9983;0.9909
363;1;1;1
364;0.9;0.9983;0.9909
365;0.8;0.98;0.9138
366;1;1;1
367;0.9;0.995;0.9698
368;0.9;0.9967;0.9833
369;1;1;1
370;0.8;0.98;0.9157
371;0.9;0.995;0.9769
372;0.8;0.9783;0.8601
373;0.8;0.9733;0.8951
374;0.9;0.975;0.9317
375;0.8;0.9883;0.9485
376;0.8;0.9633;0.8946
377;0.8;0.9683;0.8928
378;0.9;0.995;0.9733
379;1;1;1
380;0.8;0.9633;0.9013
381;0.8;0.9833;0.9338
382;0.8;0.98;0.9027
383;0.9;0.995;0.9733
384;0.9;0.9933;0.9714
385;0.8;0.9783;0.8661
386;0.8;0.9583;0.9121
387;0.8;0.9833;0.931
388;0.9;0.9883;0.9588
389;0.8;0.9867;0.9407
390;0.9;0.995;0.9733
391;0.8;0.9783;0.8782
392;0.9;0.995;0.9698
393;0.9;0.9883;0.9456
394;0.9;0.9933;0.9714
395;0.9;0.985;0.9069
396;0.8;0.9883;0.9485
397;0.9;0.9983;0.9909
398;0.9;0.9933;0.9714
399;1;1;1
400;0.8;0.9733;0.9235
401;0.9;0.9967;0.9833
402;0.9;0.9967;0.9833
403;0.9;0.985;0.9526
404;1;1;1
405;0.9;0.97;0.927
406;0.9;0.9917;0.9667
407;0.8;0.9533;0.8597
408;0.8;0.9683;0.9135
409;0.8;0.97;0.9107
410;0.9;0.9883;0.9588
411;0.9;0.9833;0.95
412;0.9;0.9767;0.9243
